id,title,subject,operator,predicate,logical_operator,model_id,model_type,created_at,updated_at,deleted_at
19,Funded Proposals,funding_status,=,"[funded, leftover]",AND,23,App\Models\Metric,2025-07-23 12:04:28,2025-08-04 18:18:21,
58,Unfunded Proposals,status,=,unfunded,AND,64,App\Models\Metric,2025-07-25 11:22:06,2025-07-25 11:22:06,
59,In Progress Proposals,status,=,in_progress,AND,64,App\Models\Metric,2025-07-25 11:23:17,2025-07-25 11:23:17,
60,Completed Proposals,status,=,complete,AND,65,App\Models\Metric,2025-07-25 11:28:07,2025-07-25 11:28:07,
61,In Progress Proposals,status,=,in_progress,AND,65,App\Models\Metric,2025-07-25 11:28:45,2025-07-25 11:28:45,
62,Completed Proposals,status,=,complete,AND,66,App\Models\Metric,2025-07-25 11:34:06,2025-07-25 11:34:06,
63,In Progress Proposals,status,=,in_progress,AND,66,App\Models\Metric,2025-07-25 11:34:46,2025-07-25 11:34:46,
64,Unfunded Proposals,status,=,unfunded,AND,67,App\Models\Metric,2025-07-25 11:39:40,2025-07-25 11:39:40,
65,Completed Proposals,status,=,complete,AND,67,App\Models\Metric,2025-07-25 11:40:07,2025-07-25 11:40:07,
66,In Progress Proposals,status,=,in_progress,AND,67,App\Models\Metric,2025-07-25 11:40:46,2025-07-25 11:40:46,
67,Unfunded Proposals,status,=,unfunded,AND,68,App\Models\Metric,2025-07-25 11:46:26,2025-07-25 11:46:26,
68,Completed Proposals,status,=,complete,AND,68,App\Models\Metric,2025-07-25 11:46:51,2025-07-25 11:46:51,
69,In Progress Proposals,status,=,in_progress,AND,68,App\Models\Metric,2025-07-25 11:47:23,2025-07-25 11:47:23,
71,Funded Proposals,funding_status,=,"[funded, leftover]",AND,52,App\Models\Metric,2025-07-29 19:03:47,2025-07-30 08:15:33,
37,Funded Proposals,funding_status,=,"[funded, leftover]",AND,54,App\Models\Metric,2025-07-25 10:05:13,2025-07-30 08:20:22,
17,Funded Proposals,funding_status,=,"[funded, leftover]",AND,22,App\Models\Metric,2025-07-23 11:41:05,2025-08-04 18:42:37,
